linea,producto_original,producto_normalizado,tiene_venta,tiene_costo,venta,costo,utilidad,margen
Linea_A,MAVEN X 0.8K,MAVEN X 0.8K,True,True,21399.0,12154.1,9244.9,0.4320248609748119
Linea_A,TALON X 0.2K,TALON X 0.2K,True,True,13337.19,7695.85,5641.34,0.42297815356908014
Linea_A,CALDOR X 1K,CALDOR X 1K,True,True,14230.2,8125.48,6104.720000000001,0.4289974842236933
Linea_A,AURON X 0.5K,AURON X 0.5K,True,True,4916.71,2892.75,2023.96,0.41164925326081875
Linea_A,BRAVIK X 0.2K,BRAVIK X 0.2K,True,True,5124.77,2884.2,2240.5700000000006,0.43720401110684
Linea_A,VELTAR X 1K,VELTAR X 1K,True,True,4470.08,2537.64,1932.44,0.43230546209463816
Linea_A,KORVIN X 1K,KORVIN X 1K,True,True,9388.5,5500.56,3887.9399999999996,0.41411727112957336
Linea_A,TRIGON X 1L,TRIGON X 1L,True,True,1551.13,910.91,640.2200000000001,0.41274425741233817
Linea_A,SERAL X 1L,SERAL X 1L,True,True,3744.51,2135.7,1608.8100000000004,0.4296450002804106
Linea_A,DRAKOR X 0.5L,DRAKOR X 0.5L,True,True,2697.34,1591.2,1106.14,0.4100854916324972
Linea_A,RAVEX X 0.25L,RAVEX X 0.25L,True,True,1176.02,662.31,513.71,0.4368208023673067
Linea_B,DALVEN X 1L,DALVEN X 1L,True,True,9685.01,6786.0,2899.01,0.2993295825197909
Linea_B,GLARIX X 1L,GLARIX X 1L,True,True,8382.95,5913.55,2469.4000000000005,0.29457410577422033
Linea_B,SOLVEN X 5L,SOLVEN X 5L,True,True,6328.23,4583.44,1744.79,0.27571532640248536
Linea_B,KELVON X 1L,KELVON X 1L,True,True,1633.93,1128.5,505.43000000000006,0.30933393719437186
Linea_B,VOLTREX X 20L,VOLTREX X 20L,True,True,4645.29,3273.2,1372.0900000000001,0.29537230183691443
Linea_B,RANSOR X 200L,RANSOR X 200L,True,True,31549.49,22823.35,8726.140000000003,0.27658577048313626
Linea_B,RENOVA X 0.25L,RENOVA X 0.25L,True,True,1427.4,1008.9,418.5000000000001,0.29319041614123587
Linea_C,HUMEX X 1K,HUMEX X 1K,True,True,3105.67,2279.06,826.6100000000001,0.26616156900121396
Linea_C,FLORAX X 10K,FLORAX X 10K,True,True,3478.0,2500.09,977.9099999999999,0.2811702127659574
Linea_C,TRYVON X 20L,TRYVON X 20L,True,True,5907.52,4253.04,1654.4800000000005,0.2800633768484915
Linea_C,TANGOR X 20L,TANGOR X 20L,True,True,3299.07,2336.4,962.6700000000001,0.2918004164810083
Linea_C,PHOSMIX X 20L,PHOSMIX X 20L,True,True,1848.48,1330.0,518.48,0.28048991603912404
Linea_C,MAXTER X 20L,MAXTER X 20L,True,True,3195.03,2331.12,863.9100000000003,0.27039182730678596
Linea_C,AMIVEX X 1L,AMIVEX X 1L,True,True,3894.03,2878.3,1015.73,0.2608428799983564
Linea_C,CALTRON X 250GRM,CALTRON X 250GRM,True,True,1051.27,777.6,273.66999999999996,0.26032322809554154
Linea_C,NUTRION X 1L,NUTRION X 1L,True,True,1772.99,1257.12,515.8700000000001,0.2909604679101406
Linea_C,ROOTEN X 5L,ROOTEN X 5L,True,True,2007.92,1422.0,585.9200000000001,0.29180445436073155
Linea_C,SUPRAK X 20L,SUPRAK X 20L,True,True,1331.91,963.72,368.19000000000005,0.2764375971349416
Linea_C,FOLTRIX X 20L,FOLTRIX X 20L,True,True,817.28,586.56,230.72000000000003,0.28230227094753335
Linea_C,VIGRAN X 20L,VIGRAN X 20L,True,True,1411.65,1010.88,400.7700000000001,0.2839018170226331
